No,Student ID,Lastname,Firstname,Gender,DoB
1,19125050,Vu Thi Huyen,Vy,Male,24/02/1996
2,19125078,TRAN BAO,LAM,Female,04/06/1997
3,19125053,Tran Van,Duong,Male,19/06/1998
4,19125055,Doan Ngoc,Tay,Female,12/06/1996
5,19125056,Tran Thi Ngoc,anh,Female,10/02/1996
6,19125067,TRAN NGUYEN XUAN,MAI,Male,05/09/1998
7,19125068,BUI THI THUY,QUYEN,Female,30/08/1998
8,19125072,DOAN CAO HUU,TINH,Female,19/08/1997
9,19125076,NGUYEN THI NGOC,HAI,Male,24/10/1996
10,19125080,LE HUU,NGHI,Male,30/09/1997
11,19125083,THAI THI XUAN,DIEU,Female,23/09/1996
12,19125084,TIEU TIEU,THUONG,Male,15/09/1996
13,19125098,PHAN NHUT,THANH,Female,05/07/1996
